"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1321","created data is identifiable and fully removable","api","2026-09-14","passed","2026-09-14","Cleanup","api/cleanup.spec.js","",""
"","1720","It should update a board name and description","api","2026-09-14","passed","2026-09-14","Boards · functional","api/boards.spec.js","",""
"","2289","Comment should shows up in the card's actions","api","2026-09-14","passed","2026-09-14","Cards-> creation","api/cards.spec.js","",""
"","61147","TRL-P-001 · per-endpoint latency budgets","perf-api","2026-09-14","failed","2026-09-14","Trello · performance","perf/trello.perf.spec.js","",""
"","500","Should reject writes with no token","api","2026-09-14","passed","2026-09-14","Authentication and authorisation","api/auth.spec.js","",""
"","2023","It should read an action's card","api","2026-09-14","passed","2026-09-14","Actions-> audit trail","api/actions.spec.js","",""
"","1474","It should reject DELETE for lists","api","2026-09-14","passed","2026-09-14","Lists ->  negative Cases","api/negative.spec.js","",""
"","144","It should reject creating a list with no idBoard","api","2026-09-14","passed","2026-09-14","Lists ->  negative Cases","api/negative.spec.js","",""
"","2089","It should update a card name and description","api","2026-09-14","passed","2026-09-14","Cards-> update","api/cards.update.spec.js","",""
"","1801","It should read a card by id","api","2026-09-14","passed","2026-09-14","Cards-> creation","api/cards.spec.js","",""
"","171","It should reject creating a card with a malformed idList","api","2026-09-14","passed","2026-09-14","Cards ->  negative Cases","api/negative.spec.js","",""
"","1898","It should reject deleting the same card twice","api","2026-09-14","passed","2026-09-14","Update and deletion -> negative Cases","api/negative.spec.js","",""
"","1154","It should create a list on a board","api","2026-09-14","passed","2026-09-14","Lists -> functional","api/lists.spec.js","",""
"","1280","deleted board is gone from the member's boards","api","2026-09-14","passed","2026-09-14","Cleanup","api/cleanup.spec.js","",""
"","5235","End to End Flow telenor.se -> shop nav -> Bredband -> address -> product grid","web-firefox","2026-09-14","passed","2026-09-14","Telenor · broadband journey","web/telenor.broadband.spec.js","",""
"","2217","It should create a card with a due date and position","api","2026-09-14","passed","2026-09-14","Cards-> creation","api/cards.spec.js","",""
"","183","Should reject requests with an invalid key","api","2026-09-14","passed","2026-09-14","Authentication and authorisation","api/auth.spec.js","",""
"","4001","End to End Flow telenor.se -> shop nav -> Bredband -> address -> product grid","web-chromium","2026-09-14","passed","2026-09-14","Telenor · broadband journey","web/telenor.broadband.spec.js","",""
"","2149","It should read an action's board","api","2026-09-14","passed","2026-09-14","Actions-> audit trail","api/actions.spec.js","",""
"","1923","deleting a board cascades to its lists and cards","api","2026-09-14","passed","2026-09-14","Cleanup","api/cleanup.spec.js","",""
"","220","Should reject requests with an invalid token","api","2026-09-14","passed","2026-09-14","Authentication and authorisation","api/auth.spec.js","",""
"","7953","TRL-P-002 · whole-workflow duration","perf-api","2026-09-14","passed","2026-09-14","Trello · performance","perf/trello.perf.spec.js","",""
"","1406","SQL-style payload is literal text","api","2026-09-14","passed","2026-09-14","Authentication and authorisation","api/auth.spec.js","",""
"","1089","It should reject deleting the same board twice","api","2026-09-14","passed","2026-09-14","Update and deletion -> negative Cases","api/negative.spec.js","",""
"","2796","tear down the entire setup","api","2026-09-14","passed","2026-09-14","Cleanup","api/cleanup.spec.js","",""
"","179","It should reject updating a board that does not exist","api","2026-09-14","passed","2026-09-14","Boards -> negative Cases","api/negative.spec.js","",""
"","146","It should reject creating a card with no idList","api","2026-09-14","passed","2026-09-14","Cards ->  negative Cases","api/negative.spec.js","",""
"","1937","It should archive a list","api","2026-09-14","passed","2026-09-14","Lists -> functional","api/lists.spec.js","",""
"","514","It should reject creating a board with no name","api","2026-09-14","passed","2026-09-14","Boards -> negative Cases","api/negative.spec.js","",""
"","1737","It should order the lists","api","2026-09-14","passed","2026-09-14","Lists -> functional","api/lists.spec.js","",""
"","159","It should reject updating a card that does not exist","api","2026-09-14","passed","2026-09-14","Update and deletion -> negative Cases","api/negative.spec.js","",""
"","1386","It should archive a board","api","2026-09-14","passed","2026-09-14","Boards · functional","api/boards.spec.js","",""
"","152","It should reject empty board names","api","2026-09-14","passed","2026-09-14","Boards -> negative Cases","api/negative.spec.js","",""
"","184","Should reject requests with no credentials","api","2026-09-14","passed","2026-09-14","Authentication and authorisation","api/auth.spec.js","",""
"","156","It should reject creating a list on a board that does not exist","api","2026-09-14","passed","2026-09-14","Lists ->  negative Cases","api/negative.spec.js","",""
"","2404","It Should Read a single action by id","api","2026-09-14","passed","2026-09-14","Actions-> audit trail","api/actions.spec.js","",""
"","2711","It should restore an archived card","api","2026-09-14","passed","2026-09-14","Cards-> update","api/cards.update.spec.js","",""
"","153","It should reject reading a list with a malformed id","api","2026-09-14","passed","2026-09-14","Lists ->  negative Cases","api/negative.spec.js","",""
"","1085","It should create a board with a description and no default lists","api","2026-09-14","passed","2026-09-14","Boards · functional","api/boards.spec.js","",""
"","152","It should reject creating a card in a list that does not exist","api","2026-09-14","passed","2026-09-14","Cards ->  negative Cases","api/negative.spec.js","",""
"","1916","It should create a card with only a list","api","2026-09-14","passed","2026-09-14","Cards-> creation","api/cards.spec.js","",""
"","2175","deleting a card removes it from its list","api","2026-09-14","passed","2026-09-14","Cleanup","api/cleanup.spec.js","",""
"","1281","It should create a board with a name only","api","2026-09-14","passed","2026-09-14","Boards · functional","api/boards.spec.js","",""
"","201","Should not expose another member's board","api","2026-09-14","passed","2026-09-14","Authentication and authorisation","api/auth.spec.js","",""
"","1813","It should ignore an unknown parameter","api","2026-09-14","passed","2026-09-14","Update and deletion -> negative Cases","api/negative.spec.js","",""
"","5850","End to End Flow telenor.se -> shop nav -> Bredband -> address -> product grid","web-webkit","2026-09-14","passed","2026-09-14","Telenor · broadband journey","web/telenor.broadband.spec.js","",""
