"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","877","deleted board is gone from the member's boards","api","2026-09-12","passed","2026-09-12","Cleanup","api/cleanup.spec.js","",""
"","1666","It should move a card to another list","api","2026-09-12","passed","2026-09-12","Cards-> update","api/cards.update.spec.js","",""
"","792","It should create a board with a name only","api","2026-09-12","passed","2026-09-12","Boards · functional","api/boards.spec.js","",""
"","859","created data is identifiable and fully removable","api","2026-09-12","passed","2026-09-12","Cleanup","api/cleanup.spec.js","",""
"","122","It should restore an archived card","api","2026-09-12","failed","2026-09-12","Cards-> update","api/cards.update.spec.js","",""
"","1363","It should ignore an unknown parameter","api","2026-09-12","passed","2026-09-12","Update and deletion -> negative Cases","api/negative.spec.js","",""
"","1856","It should get every card on a board","api","2026-09-12","passed","2026-09-12","Boards · functional","api/boards.spec.js","",""
"","1466","It should update a card name and description","api","2026-09-12","passed","2026-09-12","Cards-> update","api/cards.update.spec.js","",""
"","143","Should reject requests with an invalid key","api","2026-09-12","passed","2026-09-12","Authentication and authorisation","api/auth.spec.js","",""
"","1757","It should read an action's card","api","2026-09-12","passed","2026-09-12","Actions-> audit trail","api/actions.spec.js","",""
"","169","It should reject DELETE for lists","api","2026-09-12","failed","2026-09-12","Lists ->  negative Cases","api/negative.spec.js","",""
"","1362","It should show the card in its list and on its board","api","2026-09-12","passed","2026-09-12","Cards-> creation","api/cards.spec.js","",""
"","78","It should reject updating a board that does not exist","api","2026-09-12","passed","2026-09-12","Boards -> negative Cases","api/negative.spec.js","",""
"","1684","deleting a card removes it from its list","api","2026-09-12","passed","2026-09-12","Cleanup","api/cleanup.spec.js","",""
"","1217","It should create a card with a name and description","api","2026-09-12","passed","2026-09-12","Cards-> creation","api/cards.spec.js","",""
"","1315","It should get every list on a board","api","2026-09-12","passed","2026-09-12","Boards · functional","api/boards.spec.js","",""
