"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1649","deleting a board cascades to its lists and cards","api","2026-09-12","passed","2026-09-12","Cleanup","api/cleanup.spec.js","",""
"","103","It should reject reading a card that does not exist","api","2026-09-12","passed","2026-09-12","Cards ->  negative Cases","api/negative.spec.js","",""
"","115","It should reject creating a list with no idBoard","api","2026-09-12","passed","2026-09-12","Lists ->  negative Cases","api/negative.spec.js","",""
"","1554","It should apply a label to a card","api","2026-09-12","passed","2026-09-12","Cards-> update","api/cards.update.spec.js","",""
"","1938","deleting a card removes it from its list","api","2026-09-12","passed","2026-09-12","Cleanup","api/cleanup.spec.js","",""
"","1642","It should set a due date and mark it complete","api","2026-09-12","passed","2026-09-12","Cards-> update","api/cards.update.spec.js","",""
"","1346","It should create a card with a name and description","api","2026-09-12","passed","2026-09-12","Cards-> creation","api/cards.spec.js","",""
"","1408","It should rename a list","api","2026-09-12","passed","2026-09-12","Lists -> functional","api/lists.spec.js","",""
"","87","It should reject reading a list with a malformed id","api","2026-09-12","passed","2026-09-12","Lists ->  negative Cases","api/negative.spec.js","",""
"","1605","It should ignore an unknown parameter","api","2026-09-12","passed","2026-09-12","Update and deletion -> negative Cases","api/negative.spec.js","",""
"","961","It should create a board with a name only","api","2026-09-12","passed","2026-09-12","Boards · functional","api/boards.spec.js","",""
"","1573","It should read the cards in a list","api","2026-09-12","passed","2026-09-12","Lists -> functional","api/lists.spec.js","",""
"","85","It should reject empty board names","api","2026-09-12","passed","2026-09-12","Boards -> negative Cases","api/negative.spec.js","",""
"","1459","It should archive a list","api","2026-09-12","passed","2026-09-12","Lists -> functional","api/lists.spec.js","",""
"","1159","It should reject DELETE for lists","api","2026-09-12","passed","2026-09-12","Lists ->  negative Cases","api/negative.spec.js","",""
"","87","It should reject reading a board with a invalid id","api","2026-09-12","passed","2026-09-12","Boards -> negative Cases","api/negative.spec.js","",""
"","1296","It should create a card with only a list","api","2026-09-12","passed","2026-09-12","Cards-> creation","api/cards.spec.js","",""
"","296","Should reject writes with no token","api","2026-09-12","passed","2026-09-12","Authentication and authorisation","api/auth.spec.js","",""
"","1798","It should archive a card","api","2026-09-12","passed","2026-09-12","Cards-> update","api/cards.update.spec.js","",""
"","1795","It should read an action's card","api","2026-09-12","passed","2026-09-12","Actions-> audit trail","api/actions.spec.js","",""
"","2581","The board action log records the whole workflow","api","2026-09-12","passed","2026-09-12","Actions-> audit trail","api/actions.spec.js","",""
"","92","It should reject reading a board that does not exist","api","2026-09-12","passed","2026-09-12","Boards -> negative Cases","api/negative.spec.js","",""
